808,4786
615,2517
422,1779
229,1123
36,180
843,4140
650,2651
457,2169
264,1076
71,445
878,3601
685,3523
492,2009
299,1222
106,435
913,4805
720,3136
527,2148
334,1613
141,718
948,4545
755,3112
562,2796
369,1505
176,927
983,4558
790,3240
597,2709
404,1631
211,1162
18,100
825,3510
632,2582
439,2065
246,1000
53,233
860,3555
667,2937
474,1923
281,1287
88,430
895,4034
702,2868
509,2306
316,1392
123,585
930,3861
737,3606
544,2214
351,1669
158,649
965,4723
772,3245
579,2547
386,1654
193,1377
1000,4171
807,3329
614,2619
421,1717
228,1004
35,166
842,3730
649,2670
456,1975
263,1063
70,304
877,4161
684,3165
491,2001
298,1566
105,441
912,4241
719,2981
526,2465
333,1363
140,787
947,4377
754,3082
561,2411
368,1776
175,770
982,4058
789,3944
596,2545
403,1881
210,854
17,100
824,3611
631,3215
438,1776
245,1121
52,231
859,4304
666,2730
473,2412
280,1245
87,438
894,3683
701,3582
508,2215
315,1681
122,508
929,4501
736,3055
543,2363
350,1494
157,941
964,4108
771,3284
578,2547
385,1626
192,782
999,4157
806,3947
613,2625
420,1846
227,976
34,169
841,3508
648,3147
455,1852
262,1359
69,294
876,4665
683,2934
490,2571
297,1336
104,532
911,3811
718,3144
525,2153
332,1353
139,713
946,4071
753,3155
560,2279
367,1599
174,710
981,4258
788,3920
595,2713
402,1633
209,1064
16,98
823,3622
630,2629
437,2144
244,1120
51,232
858,4959
665,3868
472,1921
279,1146
86,363
893,4478
700,2868
507,2177
314,1270
121,503
928,3822
735,3133
542,2511
349,1417
156,643
963,4025
770,4159
577,2341
384,1883
191,781
998,5073
805,3275
612,2681
419,1801
226,927
33,158
840,3987
647,2865
454,1853
261,1106
68,408
875,3754
682,2850
489,2181
296,1297
103,514
910,3922
717,3233
524,2133
331,1430
138,606
945,4349
752,3178
559,2792
366,1571
173,971
980,4220
787,3227
594,2697
401,1636
208,841
15,94
822,3483
629,2573
436,1764
243,1165
50,224
857,3661
664,3078
471,1917
278,1231
85,361
892,3843
699,2912
506,2586
313,1262
120,565
927,3858
734,3308
541,2198
348,1626
155,664
962,4285
769,3154
576,2426
383,1623
190,792
997,4252
804,3359
611,3129
418,1840
225,1165
32,158
839,3859
646,2690
453,2066
260,1058
67,315
874,3648
681,3008
488,1980
295,1548
102,431
909,4280
716,2937
523,2365
330,1335
137,573
944,3925
751,3319
558,2383
365,1481
172,705
979,4518
786,3927
593,2424
400,1988
207,842
14,82
821,3388
628,2698
435,1784
242,1068
49,291
856,4068
663,2716
470,2234
277,1121
84,350
891,3834
698,3339
505,2106
312,1540
119,493
926,4365
733,3015
540,2561
347,1699
154,658
961,4954
768,3152
575,2803
382,1555
189,1012
996,4166
803,3655
610,2700
417,1732
224,938
31,157
838,3641
645,2711
452,1930
259,1060
66,291
873,3708
680,3333
487,2075
294,1629
101,423
908,4397
715,3101
522,2423
329,1323
136,713
943,3917
750,3224
557,2254
364,1605
171,759
978,4309
785,3342
592,2482
399,1807
206,912
13,78
820,3554
627,2698
434,1767
241,983
48,225
855,3528
662,2865
469,2329
276,1125
83,354
890,3728
697,3639
504,2048
311,1329
118,496
925,4476
732,2985
539,2632
346,1403
153,1051
960,4477
767,3705
574,2966
381,1545
188,780
995,4269
802,3602
609,2589
416,1707
223,909
30,157
837,3487
644,2782
451,2294
258,1053
65,288
872,3863
679,3274
486,1986
293,1246
100,420
907,4759
714,2935
521,2629
328,1463
135,619
942,4044
749,3651
556,2269
363,1568
170,702
977,4886
784,3474
591,2576
398,1737
205,929
12,76
819,3406
626,2793
433,2040
240,979
47,216
854,3507
661,3229
468,2151
275,1127
82,349
889,4212
696,2957
503,2131
310,1344
117,591
924,3948
731,3000
538,2715
345,1408
152,812
959,3945
766,3487
573,2316
380,1583
187,823
994,4125
801,3840
608,2474
415,2128
222,904
29,142
836,4878
643,2860
450,1830
257,1158
64,368
871,4097
678,2778
485,1986
292,1297
99,519
906,3724
713,3101
520,2176
327,1446
134,552
941,4525
748,3624
555,2267
362,1857
169,721
976,4811
783,3213
590,3287
397,1659
204,961
11,75
818,4136
625,2552
432,2023
239,1000
46,314
853,3517
660,3287
467,1894
274,1411
81,340
888,4220
695,3158
502,2530
309,1288
116,720
923,3925
730,3162
537,2184
344,1705
151,617
958,3958
765,3995
572,2329
379,1879
186,760
993,5665
800,3297
607,2815
414,1673
221,1127
28,137
835,4383
642,3183
449,2375
256,1045
63,288
870,3715
677,2849
484,2923
291,1641
98,504
905,3790
712,4082
519,2105
326,1332
133,550
940,4542
747,3725
554,2259
361,2014
168,702
975,4621
782,3201
589,3568
396,1616
203,947
10,73
817,4906
624,2538
431,1837
238,971
45,257
852,3519
659,3000
466,2040
273,1143
80,344
887,4391
694,3003
501,2051
